user_id,name,age,location,preferences,attended_events,social_connections,exploration_score
U0001,Robert Figueroa,31,"Moscow, Russia",['Theater'],"['E0088', 'E0110', 'E0120', 'E0176', 'E0179', 'E0179', 'E0179', 'E0179', 'E0179', 'E0193', 'E0208', 'E0208', 'E0275', 'E0290', 'E0331', 'E0331', 'E0342', 'E0342', 'E0344', 'E0344', 'E0344', 'E0344', 'E0390', 'E0398', 'E0398', 'E0402', 'E0443', 'E0443', 'E0462', 'E0475', 'E0475', 'E0475']","['U2457', 'U3432', 'U0614', 'U3591', 'U1230', 'U0931', 'U0107', 'U0552', 'U0108', 'U6887', 'U0753', 'U2260', 'U5825', 'U3727', 'U0092', 'U4356', 'U0653', 'U2505', 'U0823']",0.98
U0002,Peter Gonzalez,18,"Singapore, Singapore","['Workshops', 'Sports']","['E0010', 'E0010', 'E0038', 'E0078', 'E0078', 'E0078', 'E0078', 'E0078', 'E0078', 'E0078', 'E0153', 'E0186', 'E0285', 'E0312', 'E0312', 'E0327', 'E0327', 'E0327', 'E0327', 'E0343', 'E0379', 'E0394', 'E0442', 'E0496', 'E0496', 'E0496', 'E0498']","['U1310', 'U6093', 'U1120', 'U5359', 'U0066', 'U1364']",0.49
U0003,Destiny Garrison,49,"São Paulo, Brazil","['Tech', 'Food', 'Workshops']","['E0046', 'E0046', 'E0048', 'E0118', 'E0135', 'E0135', 'E0200', 'E0200', 'E0207', 'E0238', 'E0256', 'E0256', 'E0271', 'E0292', 'E0301', 'E0301', 'E0340', 'E0340', 'E0346', 'E0413', 'E0414', 'E0414', 'E0497', 'E0497']","['U6325', 'U5766', 'U4964', 'U6773', 'U5381', 'U5870', 'U5555', 'U4134', 'U4158', 'U5617', 'U1424']",0.61
U0004,Jessica Mitchell,49,"Los Angeles, United States","['Literature', 'Tech', 'Film']","['E0051', 'E0051', 'E0051', 'E0051', 'E0087', 'E0112', 'E0129', 'E0129', 'E0158', 'E0158', 'E0158', 'E0158', 'E0191', 'E0191', 'E0198', 'E0198', 'E0259', 'E0262', 'E0262', 'E0272', 'E0272', 'E0272', 'E0464']","['U0200', 'U0941', 'U1944', 'U1896', 'U0940', 'U3836', 'U4520', 'U2643', 'U0993', 'U4125', 'U5193', 'U0069', 'U6137', 'U2461', 'U3443']",0.97
U0005,James Miller,63,"São Paulo, Brazil","['Food', 'Literature', 'Theater']","['E0105', 'E0114', 'E0115', 'E0119', 'E0119', 'E0135', 'E0139', 'E0149', 'E0156', 'E0201', 'E0201', 'E0253', 'E0253', 'E0292', 'E0390', 'E0456', 'E0466', 'E0466']","['U5066', 'U4016', 'U4281', 'U3793', 'U2598', 'U1948', 'U5275', 'U1168', 'U4705', 'U6565', 'U3208', 'U3323', 'U0607', 'U5941']",0.66
U0006,Shawn Harrison,57,"Paris, France","['Music', 'Food']","['E0005', 'E0005', 'E0071', 'E0083', 'E0083', 'E0089', 'E0104', 'E0152', 'E0152', 'E0152', 'E0152', 'E0267', 'E0304', 'E0304', 'E0304', 'E0304', 'E0314', 'E0314', 'E0314', 'E0314', 'E0314', 'E0318', 'E0318', 'E0353', 'E0353', 'E0467', 'E0478', 'E0478']","['U3256', 'U1063', 'U1949', 'U4344', 'U0062', 'U3947', 'U4930', 'U6510', 'U3677', 'U5428', 'U5291', 'U6674']",0.52
U0007,Robert Gonzalez,47,"Sydney, Australia",['Workshops'],"['E0002', 'E0033', 'E0033', 'E0046', 'E0046', 'E0065', 'E0065', 'E0065', 'E0065', 'E0183', 'E0183', 'E0204', 'E0204', 'E0235', 'E0455', 'E0455']","['U0874', 'U2642', 'U3685', 'U3481', 'U0721', 'U6973', 'U0524', 'U1431', 'U4230', 'U5200', 'U1259', 'U2244', 'U5303', 'U5221', 'U2501', 'U5544', 'U6355', 'U2644', 'U4057']",0.64
U0008,Christopher Davis,36,"Mexico City, Mexico",['Comedy'],"['E0028', 'E0042', 'E0069', 'E0069', 'E0075', 'E0075', 'E0080', 'E0080', 'E0080', 'E0080', 'E0093', 'E0093', 'E0124', 'E0124', 'E0124', 'E0126', 'E0126', 'E0175', 'E0175', 'E0242', 'E0245', 'E0298', 'E0334', 'E0334', 'E0338', 'E0409', 'E0415', 'E0477', 'E0478', 'E0478', 'E0478', 'E0478']","['U3781', 'U4158', 'U4901', 'U2256', 'U0397', 'U2089', 'U5719', 'U0667', 'U3465', 'U3759', 'U2703', 'U6322', 'U5114', 'U5603']",0.56
U0009,Hector Carney,38,"Dubai, United Arab Emirates","['Sports', 'Art']","['E0055', 'E0070', 'E0070', 'E0072', 'E0101', 'E0101', 'E0129', 'E0129', 'E0147', 'E0147', 'E0147', 'E0147', 'E0150', 'E0150', 'E0214', 'E0214', 'E0214', 'E0248', 'E0248', 'E0248', 'E0323', 'E0323', 'E0327', 'E0327', 'E0347', 'E0347', 'E0347', 'E0347', 'E0400', 'E0400', 'E0427', 'E0431', 'E0431', 'E0431', 'E0431', 'E0431', 'E0431', 'E0431', 'E0497']","['U3176', 'U4431', 'U5099', 'U3796', 'U0940']",0.76
U0010,Benjamin Spears,18,"London, United Kingdom",['Workshops'],"['E0060', 'E0060', 'E0063', 'E0085', 'E0112', 'E0112', 'E0168', 'E0168', 'E0168', 'E0168', 'E0168', 'E0168', 'E0168', 'E0220', 'E0220', 'E0261', 'E0300', 'E0323', 'E0323', 'E0323', 'E0323', 'E0327', 'E0327', 'E0387', 'E0387']","['U4963', 'U1091', 'U5644', 'U0949', 'U5338', 'U3691', 'U2957', 'U1678', 'U4510', 'U6924', 'U2191', 'U6643', 'U0723', 'U5115', 'U5845', 'U6623', 'U6881', 'U6505']",0.21
U0011,Jennifer Moore,32,"Singapore, Singapore",['Comedy'],"['E0009', 'E0009', 'E0009', 'E0029', 'E0078', 'E0126', 'E0126', 'E0126', 'E0126', 'E0149', 'E0149', 'E0149', 'E0193', 'E0235', 'E0285', 'E0285', 'E0285', 'E0342', 'E0352', 'E0352', 'E0357', 'E0357', 'E0361', 'E0361', 'E0399', 'E0442', 'E0442', 'E0442', 'E0481', 'E0481']","['U5300', 'U3011', 'U0040', 'U3957', 'U0930']",0.34
U0012,Christopher Freeman,35,"Dubai, United Arab Emirates","['Music', 'Film', 'Theater']","['E0038', 'E0038', 'E0043', 'E0141', 'E0141', 'E0141', 'E0155', 'E0208', 'E0208', 'E0240', 'E0240', 'E0240', 'E0283', 'E0283', 'E0283', 'E0369', 'E0369', 'E0369', 'E0427', 'E0443', 'E0443', 'E0490', 'E0490', 'E0490', 'E0490', 'E0490']","['U2384', 'U3032', 'U3429', 'U1989', 'U1340', 'U0127', 'U2018', 'U1533', 'U0659', 'U0281', 'U4224', 'U0858', 'U6995']",0.37
U0013,Amy Anderson,61,"Mumbai, India","['Film', 'Music', 'Food']","['E0048', 'E0048', 'E0048', 'E0048', 'E0054', 'E0054', 'E0054', 'E0054', 'E0113', 'E0113', 'E0113', 'E0137', 'E0137', 'E0137', 'E0137', 'E0137', 'E0161', 'E0163', 'E0163', 'E0163', 'E0232', 'E0232', 'E0232', 'E0232', 'E0238', 'E0262', 'E0283', 'E0283', 'E0286', 'E0286', 'E0286', 'E0303', 'E0308', 'E0308', 'E0308', 'E0308', 'E0308', 'E0311', 'E0343', 'E0343', 'E0353', 'E0353', 'E0353', 'E0359', 'E0371', 'E0371', 'E0371', 'E0371', 'E0371', 'E0378', 'E0378', 'E0378', 'E0378', 'E0389', 'E0398', 'E0452']","['U5470', 'U4815', 'U0125', 'U2295', 'U2428', 'U2403', 'U1273', 'U4395', 'U3632', 'U1329', 'U6600', 'U2941', 'U4446', 'U0540', 'U5485', 'U5295', 'U0259', 'U0417']",0.78
U0014,Alan Hill,36,"Mumbai, India","['Comedy', 'Food']","['E0043', 'E0084', 'E0084', 'E0084', 'E0145', 'E0145', 'E0145', 'E0232', 'E0308', 'E0308', 'E0308', 'E0308', 'E0308', 'E0311', 'E0311', 'E0325', 'E0352', 'E0371', 'E0371', 'E0371', 'E0376', 'E0376', 'E0376', 'E0435', 'E0448', 'E0448', 'E0452']","['U4458', 'U2118', 'U4177', 'U6108', 'U6495', 'U1370', 'U6864', 'U1821', 'U5867', 'U2903', 'U6457', 'U3735', 'U2466', 'U1811']",0.5
U0015,Kathleen Dixon,49,"Sydney, Australia",['Art'],"['E0052', 'E0052', 'E0052', 'E0052', 'E0052', 'E0054', 'E0086', 'E0086', 'E0086', 'E0096', 'E0096', 'E0129', 'E0129', 'E0149', 'E0149', 'E0149', 'E0149', 'E0213', 'E0213', 'E0249', 'E0252', 'E0353', 'E0410', 'E0410', 'E0410', 'E0440']","['U4186', 'U4060', 'U4751', 'U4434', 'U6392', 'U5188', 'U4265', 'U3556', 'U2958', 'U0716', 'U0670', 'U4219']",0.52
U0016,Catherine Taylor,56,"Tokyo, Japan","['Art', 'Tech', 'Literature']","['E0039', 'E0039', 'E0091', 'E0091', 'E0091', 'E0112', 'E0130', 'E0144', 'E0164', 'E0164', 'E0164', 'E0171', 'E0171', 'E0171', 'E0171', 'E0171', 'E0171', 'E0177', 'E0177', 'E0196', 'E0196', 'E0253', 'E0362', 'E0380', 'E0380', 'E0482', 'E0482', 'E0482', 'E0482']","['U2602', 'U6254', 'U4288', 'U2035', 'U4647', 'U3482', 'U4874', 'U3934', 'U3486', 'U1945', 'U2950']",0.04
